BALANCE,BALANCE_FREQUENCY,PURCHASES,ONEOFF_PURCHASES,INSTALLMENTS_PURCHASES,CASH_ADVANCE,PURCHASES_FREQUENCY,ONEOFF_PURCHASES_FREQUENCY,PURCHASES_INSTALLMENTS_FREQUENCY,CASH_ADVANCE_FREQUENCY,CASH_ADVANCE_TRX,PURCHASES_TRX,CREDIT_LIMIT,PAYMENTS,MINIMUM_PAYMENTS,PRC_FULL_PAYMENT,TENURE,SEGMENT
325.26,0.88,7242.28,9713.53,877.91,7042.5,0.15,0.76,0.36,0.46,15,97,2335.71,12123.6,1810.84,0.77,8,One-off Purchaser
4744.43,0.9,3856.59,6323.97,5946.18,5289.83,0.52,0.14,0.07,0.15,18,74,11855.06,2851.52,1043.12,0.41,6,Cash Advance User
4828.16,0.66,733.78,9858.96,5782.16,6962.23,0.67,0.99,0.02,0.24,29,98,1122.86,7216.52,856.19,0.01,6,Cash Advance User
4041.99,0.34,8127.3,3388.93,4252.15,3163.13,0.59,0.29,0.46,0.2,21,61,12205.33,4492.07,4408.95,0.59,12,High Spender
1523.07,0.89,5796.31,9712.05,8297.75,271.88,0.98,0.84,0.2,0.12,18,7,2851.87,8970.81,4445.45,0.55,6,Moderate User
488.36,0.29,2357.62,1455.62,9428.9,4609.12,0.13,0.19,0.94,0.44,20,9,8338.21,12558.03,2859.53,0.42,8,Installment User
3421.17,0.56,8946.81,406.95,4653.36,2713.55,0.99,0.95,0.64,0.36,19,95,7152.89,6002.38,1296.56,0.63,6,High Spender
2200.76,0.1,452.58,329.84,4561.47,3585.51,0.47,0.83,0.59,0.36,13,51,7286.07,8884.71,4874.24,0.04,6,Moderate User
610.19,0.92,2018.2,4648.7,5020.64,5448.88,0.22,0.36,0.41,0.25,11,94,4644.0,153.3,549.2,0.91,10,Cash Advance User
2475.88,0.14,7520.47,830.04,7231.24,5605.32,0.94,0.42,0.33,0.44,0,3,2988.78,5261.1,3883.45,0.3,6,Installment User
171.94,0.22,7093.78,5121.68,6680.6,220.45,0.47,0.0,0.18,0.55,10,2,1308.25,9315.2,1644.64,0.12,7,Moderate User
4546.6,0.56,2892.72,3275.01,2228.35,6154.42,0.35,0.25,0.06,0.61,10,44,15268.07,14857.99,2013.58,0.2,10,Cash Advance User
1293.9,0.76,620.25,3356.29,638.95,3948.15,0.21,0.29,0.63,0.22,22,29,18406.4,4172.98,4004.0,0.6,10,Moderate User
3312.61,0.62,8580.78,6356.09,9492.54,4453.59,0.27,0.45,0.78,0.73,27,74,18000.83,2621.12,181.09,0.78,8,High Spender
1558.56,0.23,3136.98,1630.98,2610.7,2383.95,0.98,0.14,0.86,0.03,21,46,13033.51,13435.29,2343.2,0.16,11,Moderate User
2600.34,0.0,1957.13,7665.53,6385.97,3366.67,0.3,0.48,0.72,0.75,16,33,3301.76,8439.91,2049.75,0.68,7,Moderate User
2733.55,0.76,5160.62,5820.31,8284.38,5683.0,0.98,0.67,0.9,0.28,9,66,11790.57,14936.27,1311.61,0.15,10,Cash Advance User
924.27,0.99,9102.27,9149.45,3002.77,6213.71,0.33,0.37,0.98,0.37,26,56,2863.66,3812.28,4817.01,0.72,12,High Spender
4847.92,0.81,435.47,3648.41,6354.33,3096.85,0.23,0.23,0.96,0.58,28,20,10743.78,2935.89,2487.0,0.69,11,Moderate User
3875.66,0.46,7658.04,9827.15,1079.0,5528.94,0.18,0.55,0.59,0.61,3,40,17294.84,5335.85,2173.15,0.86,8,One-off Purchaser
4697.49,0.9,5724.73,5758.28,9699.31,2064.35,0.41,0.03,0.22,0.42,24,74,4784.48,8668.08,3446.99,0.67,12,Moderate User
4474.14,0.41,4254.49,9734.02,581.58,6656.18,0.24,0.34,0.11,0.94,22,74,18727.42,1146.24,3717.59,0.07,10,One-off Purchaser
2989.5,0.52,7440.8,270.61,4381.75,4878.51,0.7,0.53,0.99,0.86,18,87,8337.87,5833.1,1312.66,0.84,12,Cash Advance User
4609.37,0.48,9658.24,7279.76,5368.19,6201.49,0.24,0.34,0.31,0.23,22,52,5145.09,984.98,1515.59,0.65,6,High Spender
442.46,0.45,2292.06,8166.22,7904.82,3817.24,0.84,0.35,0.03,0.59,13,98,10529.51,9867.14,189.73,0.21,12,Moderate User
979.91,0.78,1436.47,531.73,1211.29,1832.87,0.83,0.85,0.39,0.72,16,39,17516.04,5161.33,4959.3,0.94,7,Moderate User
226.14,0.53,9128.82,5789.7,4408.08,3433.85,0.29,0.93,0.75,0.22,20,76,6140.78,14559.79,1.06,0.88,10,High Spender
1626.65,0.32,6689.53,8019.42,2997.12,3051.88,0.75,0.83,0.89,0.02,16,88,4274.12,1547.38,2399.69,0.42,12,Moderate User
1943.39,0.26,4379.86,5610.39,3120.11,2661.73,0.86,0.1,0.48,0.98,19,68,13152.28,13414.85,2224.33,0.59,12,Moderate User
1356.75,0.04,5732.6,638.14,7787.88,1697.39,0.59,0.29,0.29,0.96,17,73,14152.46,393.85,4023.31,0.67,7,Installment User
4143.69,0.58,7456.14,6934.47,54.61,6073.34,0.37,0.71,0.78,0.32,9,97,2368.59,9824.06,346.81,0.84,8,One-off Purchaser
1783.77,0.23,7730.32,605.97,7490.84,690.81,0.44,0.97,0.5,0.24,17,67,5803.66,14218.99,1557.53,0.36,6,Installment User
1404.67,0.15,9198.94,8174.69,8103.98,7100.49,0.79,0.24,0.09,0.15,21,88,3268.71,10609.82,3611.18,0.68,11,High Spender
2713.48,0.65,4268.43,430.34,9013.62,1400.2,0.29,0.9,0.89,0.69,29,98,14502.88,459.2,4896.92,0.71,11,Installment User
704.62,0.68,2934.11,1373.97,6268.82,7838.99,0.33,0.74,0.66,0.76,23,21,11043.55,9857.7,4980.89,0.37,12,Installment User
4010.98,0.75,6396.64,2751.08,3334.55,7907.74,0.16,0.98,0.04,0.42,24,22,18008.19,4327.52,900.16,0.42,8,Cash Advance User
372.75,0.5,4157.28,6333.65,4272.35,3187.1,0.4,0.09,0.01,0.24,5,23,13857.62,10943.95,358.02,0.42,6,Moderate User
4934.43,0.89,5945.98,9763.59,9697.36,7902.57,0.09,0.39,0.09,0.45,18,73,6186.03,6780.85,2460.26,0.41,10,Cash Advance User
3861.22,0.94,4199.86,1178.23,8811.87,6952.55,0.32,0.48,0.82,0.52,18,66,7426.27,9276.67,177.21,0.54,12,Installment User
993.58,0.81,1529.96,1427.08,4635.26,659.44,0.37,0.67,0.48,0.54,18,10,8970.26,355.58,2348.43,0.05,12,Moderate User
27.61,0.64,4694.27,3688.7,9430.63,7578.63,0.26,0.65,0.34,0.44,12,59,2868.34,4204.24,4723.75,1.0,10,Cash Advance User
4077.31,0.3,6909.18,8362.19,8229.55,340.12,0.1,0.91,0.25,0.0,18,33,18505.25,4528.6,4210.39,0.31,11,Moderate User
3534.29,0.98,7992.84,4672.31,9010.9,1455.31,0.52,0.84,0.51,0.47,11,15,14279.63,6714.48,229.62,0.54,6,Moderate User
3645.04,0.27,4933.26,3216.11,6829.77,4676.76,0.87,0.06,0.08,0.35,24,25,14779.13,13209.37,110.57,0.29,9,Cash Advance User
3856.35,0.2,1652.38,5612.04,8576.54,645.9,0.34,0.49,0.62,0.56,3,42,13532.89,5537.65,2096.35,0.94,11,Moderate User
370.22,0.44,4146.88,2605.23,8917.66,1293.82,0.24,0.41,0.38,0.07,6,18,9419.58,10554.2,553.58,0.97,8,Moderate User
1792.33,0.06,7862.94,4011.6,920.17,7627.93,0.29,1.0,0.86,0.88,1,27,8209.33,5351.78,1850.49,0.98,9,Cash Advance User
579.35,0.98,4128.59,3326.05,9652.17,7957.5,0.86,0.43,0.75,0.88,22,47,11447.72,3014.81,3490.95,0.44,9,Cash Advance User
4315.52,0.59,6965.31,8041.41,3336.13,6385.09,0.53,0.68,0.02,0.56,6,51,15015.78,6943.35,1678.58,0.61,9,Cash Advance User
3116.49,0.56,5072.14,9242.56,4399.0,4121.68,0.13,0.28,0.17,0.74,19,84,7765.43,3655.08,1825.05,0.82,11,Cash Advance User
1654.49,0.66,2412.23,7595.72,7919.04,7202.41,0.71,0.61,0.47,0.44,3,80,10368.96,791.16,398.39,0.15,7,Cash Advance User
317.79,0.5,7961.51,4390.84,6648.96,895.19,0.15,0.21,0.66,0.59,27,49,13396.35,3212.92,4520.23,0.38,11,Moderate User
1554.91,0.03,842.13,5043.35,8930.6,7543.13,0.06,0.6,0.72,0.62,20,41,6259.49,1239.49,4131.49,0.31,7,Cash Advance User
1625.92,0.61,5248.9,1250.74,4005.74,2812.42,0.26,0.87,0.82,0.35,16,80,16831.05,711.49,1884.05,0.49,11,Moderate User
3648.03,0.72,2088.91,7468.65,3732.88,6891.92,0.17,0.02,0.05,0.96,21,53,5055.98,11078.89,2785.32,0.8,12,Cash Advance User
3187.79,0.42,670.66,5964.76,316.89,5346.99,0.6,0.5,0.02,0.6,6,71,17388.83,10426.78,2465.66,0.63,12,One-off Purchaser
4436.06,0.76,5029.34,9024.4,4627.25,7682.19,0.48,0.98,0.6,0.99,26,86,1089.97,2302.44,1079.59,0.12,6,Cash Advance User
2361.07,0.23,4995.62,2006.11,7240.71,6917.42,0.72,0.16,0.72,0.43,19,26,13230.32,611.19,1152.53,0.2,11,Cash Advance User
597.97,0.22,7069.01,7597.26,3011.79,7103.18,0.51,0.18,0.79,0.03,7,46,9998.87,356.38,2497.17,0.13,6,Cash Advance User
3566.22,0.16,7447.51,6846.72,4627.27,5054.03,0.42,0.47,0.16,0.3,22,25,5695.13,10972.09,2117.68,0.22,8,Cash Advance User
3803.93,0.37,7277.91,2658.46,2193.98,6665.27,0.53,0.87,0.97,0.65,13,82,19024.96,6350.42,2029.43,0.03,10,Cash Advance User
2806.39,0.85,4095.59,6673.79,7727.88,6057.05,0.43,0.56,0.23,0.91,9,33,5051.22,6444.3,4187.02,0.88,6,Cash Advance User
3854.84,0.83,6316.9,9243.73,605.12,1292.99,0.04,0.51,0.25,0.62,13,14,10338.85,956.01,117.2,0.84,8,One-off Purchaser
2468.98,0.38,5769.45,9184.36,7053.83,5188.78,0.68,0.09,0.15,0.47,0,3,11615.21,12018.83,4805.81,0.56,10,Cash Advance User
2613.66,0.59,4215.62,7196.27,3789.4,1185.4,0.96,0.96,0.04,0.08,24,0,19148.89,4376.64,3958.16,0.77,12,Moderate User
2137.71,0.72,5972.13,480.73,415.96,6955.65,0.42,0.35,0.81,0.14,27,91,13117.25,6298.83,4474.38,1.0,11,Cash Advance User
127.1,0.24,9472.48,8722.64,8534.7,527.6,0.42,0.25,0.01,0.05,13,39,2374.73,6629.72,3239.07,0.58,11,High Spender
539.46,0.17,1928.94,6577.79,4877.22,7896.37,0.05,0.41,0.46,0.71,24,73,8910.05,13230.45,1419.79,0.61,7,Cash Advance User
157.15,0.97,9057.72,3104.34,5993.19,3205.01,0.89,0.41,0.09,0.83,16,91,17443.79,12498.68,2607.78,0.86,11,High Spender
3182.05,0.62,534.56,1872.5,7320.31,1365.03,0.93,0.46,0.04,0.16,7,60,15457.96,4928.78,2230.92,0.53,8,Installment User
1571.78,0.98,3083.89,1162.04,6550.74,7485.4,0.81,0.69,0.93,0.33,13,35,1972.29,1102.81,885.4,0.05,11,Installment User
2542.85,0.34,2881.45,502.37,7308.57,363.41,0.11,0.87,0.83,0.48,16,17,12084.27,8357.93,4890.41,0.35,9,Installment User
4537.83,0.7,6263.65,7541.03,7622.82,3760.85,0.9,0.06,0.39,0.14,23,2,3187.0,4113.36,1510.65,0.72,12,Moderate User
1246.46,0.22,1312.25,2358.43,5891.52,6161.82,0.02,0.49,0.46,0.42,16,42,2870.1,4632.26,208.86,0.7,12,Cash Advance User
2051.91,0.26,8823.48,242.53,3656.38,2534.0,0.44,0.41,0.87,0.97,9,45,19281.0,13237.28,2442.63,0.99,9,High Spender
3777.76,0.51,8285.51,3972.71,2431.42,4230.68,0.5,0.01,0.8,0.72,25,79,14292.28,11045.43,536.95,0.74,9,High Spender
1143.99,0.32,6520.66,4826.07,9029.03,5603.3,0.83,0.82,0.69,0.17,17,27,3068.83,5846.91,4138.21,0.07,7,Cash Advance User
384.9,0.17,4584.14,1692.3,9699.25,7615.81,0.75,0.1,0.54,0.1,2,64,7426.83,9709.04,165.27,0.95,10,Installment User
1448.76,0.26,9329.56,440.48,3576.63,821.62,0.8,0.11,0.61,0.45,9,51,13908.89,2871.5,255.35,0.03,12,High Spender
806.11,0.04,8307.47,1891.25,1123.11,1257.81,0.87,0.05,0.39,0.99,10,78,18204.92,10011.92,3951.2,0.64,11,High Spender
4648.49,0.7,4993.15,6791.03,2225.37,4070.97,0.48,0.2,0.53,0.79,19,11,2270.4,939.43,635.21,0.26,8,Cash Advance User
4040.6,0.49,7018.73,822.44,6706.67,3347.8,0.78,0.18,0.54,0.29,15,95,2581.32,9849.37,2816.86,0.25,12,Installment User
3167.02,0.09,5669.3,5550.37,1729.33,3286.37,0.07,0.35,0.86,0.03,16,24,3122.22,13299.98,3123.78,0.57,12,One-off Purchaser
4357.3,0.17,5879.42,1464.12,7801.22,2375.69,0.44,0.66,0.22,0.41,23,79,11348.28,8707.56,4975.42,0.03,9,Installment User
4018.36,0.1,3309.76,1956.89,9230.3,4485.48,0.03,0.05,0.25,0.16,6,35,9816.95,5106.06,1271.82,0.28,9,Installment User
932.85,0.61,4620.85,3930.78,9636.52,7066.31,0.92,0.86,0.21,0.18,17,20,4122.34,8375.28,1479.27,0.23,7,Cash Advance User
4462.79,0.09,781.21,1008.25,93.26,1287.39,0.96,0.33,0.58,0.16,27,9,11180.09,4968.18,329.48,0.41,10,Moderate User
2696.71,0.75,3573.49,1732.04,9581.54,1722.29,0.08,0.61,0.7,0.72,8,75,7505.64,4373.38,251.6,0.04,12,Installment User
4037.2,0.02,6958.29,3489.52,7401.94,5366.59,0.53,0.01,0.24,0.04,19,77,4185.57,73.76,2047.12,0.32,10,Cash Advance User
4480.46,0.25,9532.16,3296.69,840.5,449.58,0.33,0.37,0.68,0.56,5,62,1628.67,3776.08,3293.59,0.18,12,High Spender
1590.02,0.89,9630.64,7492.71,4152.4,5390.11,0.34,0.0,0.63,0.75,12,50,2887.54,13408.95,3310.5,0.21,10,High Spender
550.26,0.72,5557.23,747.82,7000.45,2515.65,0.45,0.17,0.32,0.16,8,26,8360.39,2687.19,3883.65,0.83,10,Installment User
1139.68,0.07,6066.22,8604.51,9566.85,2862.83,0.13,0.45,0.23,0.89,15,17,10767.44,9499.86,2698.88,0.99,10,Moderate User
2135.54,0.82,1857.21,8162.32,1641.41,3244.39,0.18,0.54,0.88,0.08,0,52,5260.83,9204.52,3966.58,0.44,7,One-off Purchaser
4090.07,0.49,6953.08,7659.92,1277.33,2796.7,0.58,0.15,0.57,0.68,2,54,15828.06,3385.44,901.94,0.1,11,One-off Purchaser
4303.65,0.85,706.59,3093.72,4723.47,6729.68,0.02,0.75,0.7,0.17,21,97,11830.28,11575.88,3170.74,0.78,6,Cash Advance User
34.76,0.6,2846.86,8228.82,9680.99,7568.55,0.6,0.19,0.93,0.81,22,74,15610.26,6589.38,3891.45,0.83,12,Cash Advance User
2553.74,0.68,6683.63,1828.02,9713.79,4384.09,0.32,0.12,0.21,0.57,13,78,8557.46,11958.15,2854.89,0.29,10,Installment User
2087.06,0.99,3103.1,1244.09,2279.15,4655.03,0.83,0.33,0.35,0.59,24,4,17922.18,184.96,3619.03,0.45,10,Cash Advance User
1110.54,0.23,498.47,449.56,3193.47,563.86,0.6,0.55,0.43,0.35,3,36,16207.28,2234.4,708.09,0.35,9,Low Usage
599.33,0.62,8318.7,9393.1,9080.32,5705.54,0.71,0.99,0.23,0.28,22,51,11511.21,5633.33,2215.1,0.97,7,High Spender
1688.08,0.46,3103.3,3080.11,7348.41,4672.79,0.11,0.42,0.84,0.46,6,97,13974.63,7125.36,4256.65,0.85,12,Cash Advance User
4714.55,0.04,631.05,9176.18,9723.16,403.16,0.27,0.43,0.08,0.76,14,59,3802.69,8195.02,1589.47,0.27,10,Low Usage
1616.01,0.01,747.88,2726.14,8931.48,1587.41,1.0,0.06,0.24,0.17,28,24,15673.08,11830.94,4494.78,0.67,9,Moderate User
2593.95,0.12,2517.59,9075.66,2150.96,1615.55,0.43,0.77,0.19,0.82,7,32,12534.94,13545.14,4940.05,0.62,7,Moderate User
3515.09,0.65,1780.16,9039.29,7597.27,1367.74,0.36,0.18,0.95,0.48,4,96,4785.81,4758.55,697.11,0.48,9,Moderate User
1818.15,0.57,7743.0,9236.76,485.65,5269.17,0.87,0.74,0.63,0.45,9,14,6183.72,13303.78,738.24,0.72,10,One-off Purchaser
4858.91,0.55,3216.84,4961.53,8178.33,7427.52,0.03,0.91,0.72,0.02,9,0,18410.01,3995.1,1874.27,0.83,9,Cash Advance User
4812.24,0.03,8046.96,8659.46,6015.57,6103.8,0.53,0.77,0.11,0.12,27,37,4702.82,1073.52,2814.87,0.95,6,High Spender
1258.91,0.47,1738.46,9507.66,9561.01,3818.99,0.21,0.64,0.19,0.43,17,44,9275.11,8697.73,3814.6,0.47,7,Moderate User
2486.24,0.92,4928.79,3246.17,9600.32,3232.41,0.37,0.6,0.81,0.98,12,6,16971.97,9992.02,337.08,0.65,9,Moderate User
1504.39,0.4,6880.37,4188.74,508.15,3091.66,0.2,0.45,0.57,0.25,12,11,6975.89,4430.87,3907.98,0.74,8,Moderate User
1424.2,0.62,6519.91,7192.4,1605.21,4809.98,0.04,0.14,0.05,0.01,18,67,4106.42,2543.65,817.54,0.51,6,One-off Purchaser
184.43,0.78,6011.29,3003.6,4842.07,2873.77,0.42,0.78,0.57,0.44,15,25,10381.75,1454.0,425.25,0.83,11,Moderate User
3047.82,0.78,9248.22,7538.09,8794.94,1808.98,0.79,0.48,0.48,0.02,16,9,4623.83,6614.08,3013.93,0.02,10,High Spender
2513.4,0.52,2285.25,738.92,8144.45,4822.74,0.95,0.63,0.15,0.34,22,71,19690.3,6134.06,385.8,0.7,8,Installment User
257.39,0.86,4937.19,5234.98,9643.7,3125.64,0.62,0.37,0.59,0.35,22,49,13384.27,4275.07,365.49,0.18,10,Moderate User
1393.23,0.39,8839.93,1223.13,6180.84,113.0,0.39,0.2,0.17,0.0,14,24,10607.67,3313.39,3088.18,0.4,11,High Spender
4541.33,0.89,778.94,2933.23,2565.64,177.85,0.77,0.81,0.81,0.78,16,95,9333.17,585.78,3493.76,0.82,8,Low Usage
1197.81,0.24,558.88,2586.25,251.07,2193.09,0.51,0.34,0.62,0.91,9,63,12727.92,10334.82,4596.25,0.8,6,Moderate User
724.47,0.28,2333.02,8389.32,2229.26,4099.38,0.37,0.87,0.87,1.0,23,53,7792.33,5861.48,4787.36,0.46,6,Cash Advance User
2447.26,0.05,6330.21,1935.17,6752.73,2833.92,0.18,0.97,0.42,0.51,19,42,5121.7,3238.37,2384.85,0.03,11,Installment User
4928.25,0.8,2598.8,8084.48,9262.75,192.44,0.8,0.83,0.51,0.31,7,26,5916.44,7739.82,3219.32,0.38,8,Moderate User
1210.28,0.42,1902.4,7939.6,3209.04,1785.21,0.5,0.13,0.76,0.72,24,15,3062.6,13211.11,3890.48,0.34,11,Moderate User
3360.68,0.23,4588.02,4988.83,8757.04,771.35,0.96,0.86,0.55,0.74,13,91,18017.47,3486.86,4615.67,0.2,10,Moderate User
3808.1,0.23,6135.98,2338.43,3948.98,7589.06,0.8,0.52,0.57,0.38,0,60,19030.08,9199.24,110.56,0.13,6,Cash Advance User
1188.19,0.9,2485.58,2268.96,3082.71,2502.67,0.42,0.24,0.55,0.57,23,85,5624.91,13768.3,1090.52,0.32,12,Moderate User
3641.08,0.83,3006.91,4649.25,5088.44,118.13,0.74,0.09,0.49,0.82,12,66,19583.6,5715.3,2621.85,0.41,10,Moderate User
1838.92,0.55,6135.59,88.09,4422.73,5284.51,0.45,0.28,0.81,0.19,17,37,11471.6,14228.91,1158.26,0.73,12,Cash Advance User
3161.53,0.62,9457.38,5313.51,9138.0,1859.58,0.08,0.14,0.49,0.02,3,63,5578.07,189.36,2584.16,0.57,7,High Spender
3167.65,0.47,6747.42,9527.8,4682.57,4533.89,0.52,0.03,0.9,0.54,26,42,10607.41,1781.83,3395.59,0.56,7,Cash Advance User
2678.87,0.39,7829.04,1547.07,2773.35,1205.96,0.87,0.99,0.81,0.66,3,81,2462.01,7995.48,3848.05,0.85,8,Moderate User
451.45,0.92,3668.1,5733.46,8425.66,7872.11,0.86,0.83,0.69,0.57,14,13,3670.64,7479.32,4179.59,0.9,6,Cash Advance User
4176.51,0.13,2722.54,9617.79,9987.5,7762.07,0.57,0.74,0.9,0.6,1,63,5231.84,14737.63,4972.77,0.4,11,Cash Advance User
1603.9,0.42,4542.68,8605.22,6481.71,5247.87,0.38,0.19,0.54,0.39,11,94,18348.36,2144.7,4398.14,0.84,6,Cash Advance User
932.59,0.34,8071.33,8503.8,2504.61,5657.62,0.01,0.03,0.82,0.65,29,62,19033.93,14861.03,1736.98,0.82,9,High Spender
203.88,0.5,4563.0,8218.5,2388.15,3407.03,0.31,0.49,0.24,0.04,0,91,8774.65,12779.42,1452.36,0.23,8,Moderate User
2954.46,0.46,8467.25,3090.24,577.07,7697.43,0.99,0.74,0.07,0.15,13,68,5598.02,3341.59,1509.73,0.05,6,High Spender
3387.82,0.52,9887.72,8906.17,772.93,3389.92,0.73,0.96,0.69,0.44,27,48,7152.69,5512.75,460.35,0.92,11,High Spender
82.94,0.14,720.27,9413.4,9149.83,1915.74,0.72,0.84,0.3,0.94,17,71,7311.16,1796.05,3315.15,0.99,11,Moderate User
2560.47,0.51,454.1,4957.92,964.87,923.03,0.76,0.89,0.63,0.64,19,51,11505.88,13631.17,52.89,0.6,7,Low Usage
1132.48,0.24,1495.9,3545.71,4843.44,1665.0,0.62,0.24,0.08,0.36,1,81,4220.11,5784.3,1462.46,0.34,7,Moderate User
3225.86,0.18,3843.7,4142.29,6981.22,4577.71,0.59,0.16,0.96,0.46,6,22,11966.44,581.53,3835.31,0.66,10,Cash Advance User
871.83,0.06,1310.42,3342.06,8503.55,1960.73,0.45,0.25,0.52,0.85,0,31,8035.89,8662.81,2345.92,0.05,11,Moderate User
3454.69,0.76,8706.64,2124.18,1712.71,5234.0,0.44,0.14,0.01,0.54,28,47,12874.95,3867.53,2064.66,0.75,7,High Spender
1933.68,0.43,231.46,6184.48,4377.79,3057.48,0.87,0.8,0.48,0.05,19,99,11745.96,5765.37,3930.63,0.21,6,Moderate User
